location,year,category,rank,query,query_en
Global,2002,News Stories,3,Sniper,Sniper
Global,2002,News Stories,4,Hurricane Lili,Hurricane Lili
Global,2002,News Stories,5,Hochwasser,Flood
Global,2002,Retailers,1,IKEA,IKEA
Global,2002,Retailers,2,Home Depot,Home Depot
Global,2002,Retailers,3,Walmart,Walmart
Global,2002,Retailers,4,Best Buy,Best Buy
Global,2002,Retailers,5,Sears,Sears
Global,2002,Technology,1,MP3,MP3
Global,2002,Technology,2,SMS,SMS
Global,2002,Technology,3,WinZip,WinZip
Global,2002,Technology,4,Linux,Linux
Global,2002,Technology,5,FTP,FTP
Global,2002,Travel Destinations,1,Paris,Paris
Global,2002,Travel Destinations,2,Canada,Canada
Global,2002,Travel Destinations,3,New York,New York
Global,2002,Travel Destinations,4,India,India
Global,2002,Travel Destinations,5,Las Vegas,vegas
Global,2002,TV Shows,1,The Simpsons,The Simpsons
Global,2002,TV Shows,2,Big Brother,Big Brother
Global,2002,TV Shows,3,The Osbournes,The Osbournes
Global,2002,TV Shows,4,South Park,South Park
Global,2002,TV Shows,5,SpongeBob SquarePants,SpongeBob SquarePants
Global,2002,Video Games,1,The Sims,The Sims
Global,2002,Video Games,2,Counter Strike,Counter Strike
Global,2002,Video Games,3,GTA 3,GTA 3
Global,2002,Video Games,4,Warcraft 3,Warcraft 3
Global,2002,Video Games,5,Jedi Knight 2,Jedi Knight 2
Global,2002,Women,1,Britney Spears,Britney Spears
Global,2002,Women,2,Pamela Anderson,Pamela Anderson
Global,2002,Women,3,Jennifer Lopez,Jennifer Lopez
Global,2002,Women,4,Shakira,Shakira
Global,2002,Women,5,Anna Kournikova,Anna Kournikova
France,2002,Marques,1,SNCF,SNCF
France,2002,Marques,2,Wanadoo,Wanadoo
France,2002,Marques,3,Michelin,Michelin
France,2002,Marques,4,Air France,Air France
France,2002,Marques,5,SFR,SFR
France,2002,Personnalités,1,Britney Spears,Britney Spears
France,2002,Personnalités,2,Shakira,Shakira
France,2002,Personnalités,3,Jennifer Lopez,Jennifer Lopez
France,2002,Personnalités,4,Vanessa Demouy,Vanessa Demouy
France,2002,Personnalités,5,Alyssa Milano,Alyssa Milano
France,2002,Tendances de l'année,1,SNCF,SNCF
France,2002,Tendances de l'année,2,Meteo,Weather forecast
France,2002,Tendances de l'année,3,Anpe,Anpe
France,2002,Tendances de l'année,4,FNAC,FNAC
France,2002,Tendances de l'année,5,Loft Story,Loft Story
Germany,2002,Die häufigsten Suchbegriffe,1,Lastminute,Last minute
Germany,2002,Die häufigsten Suchbegriffe,2,Ryanair,Ryanair
Germany,2002,Die häufigsten Suchbegriffe,3,Aldi,Aldi
Germany,2002,Die häufigsten Suchbegriffe,4,Herr der Ringe,Lord of the rings
Germany,2002,Die häufigsten Suchbegriffe,5,Euro,Euro
Germany,2002,Meist gesuchte Automarken,1,BMW,BMW
Germany,2002,Meist gesuchte Automarken,2,Ferrari,Ferrari
Germany,2002,Meist gesuchte Automarken,3,Audi,Audi
Germany,2002,Meist gesuchte Automarken,4,VW,VW
Germany,2002,Meist gesuchte Automarken,5,Porsche,Porsche
Germany,2002,Meist gesuchte Musiker 2002,1,Shakira,Shakira
Germany,2002,Meist gesuchte Musiker 2002,2,Jennifer Lopez,Jennifer Lopez
Germany,2002,Meist gesuchte Musiker 2002,3,Britney Spears,Britney Spears
Germany,2002,Meist gesuchte Musiker 2002,4,No Angels,No Angels
Germany,2002,Meist gesuchte Musiker 2002,5,Sarah Connor,Sarah Connor
United Kingdom,2002,Men,1,Gareth Gates,Gareth Gates
United Kingdom,2002,Men,2,David Beckham,David Beckham
United Kingdom,2002,Men,3,Eminem,Eminem
United Kingdom,2002,Men,4,Orlando Bloom,Orlando Bloom
United Kingdom,2002,Men,5,Brad Pitt,Brad Pitt
United Kingdom,2002,Searches,1,BBC,BBC
United Kingdom,2002,Searches,2,Big Brother,Big Brother
United Kingdom,2002,Searches,3,EasyJet,EasyJet
United Kingdom,2002,Searches,4,Britney Spears,Britney Spears
United Kingdom,2002,Searches,5,Ryanair,Ryanair
United Kingdom,2002,Women,1,Britney Spears,Britney Spears
United Kingdom,2002,Women,2,Kylie Minogue,Kylie Minogue
United Kingdom,2002,Women,3,Holly Valance,Holly Valance
United Kingdom,2002,Women,4,Kelly Brook,Kelly Brook
United Kingdom,2002,Women,5,Katie Price,Katie Price
Global,2003,Anime Images,1,Manga,Manga
Global,2003,Anime Images,2,Final Fantasy,Final Fantasy
Global,2003,Anime Images,3,Sailor Moon,Sailor Moon
Global,2003,Anime Images,4,Yu-Gi-Oh!,Yu-Gi-Oh!
Global,2003,Anime Images,5,Dragon Ball Z,Dragon Ball Z
Global,2003,Consumer Brands,1,Ferrari,Ferrari
Global,2003,Consumer Brands,2,Sony,Sony
Global,2003,Consumer Brands,3,BMW,BMW
Global,2003,Consumer Brands,4,Disney,Disney
Global,2003,Consumer Brands,5,Ryanair,Ryanair
Global,2003,Earthquake Searches,1,Earthquake,Earthquake
Global,2003,Earthquake Searches,2,California Earthquake,California Earthquake
Global,2003,Earthquake Searches,3,Earthquakes,Earthquakes
Global,2003,Earthquake Searches,4,Earthquake California,Earthquake California
Global,2003,Earthquake Searches,5,California Earthquakes,California Earthquakes
Global,2003,Fictional Character Images,1,The Simpsons,The Simpsons
Global,2003,Fictional Character Images,2,Harry Potter,Harry Potter
Global,2003,Fictional Character Images,3,Pokémon,Pokémon
Global,2003,Fictional Character Images,4,Spiderman,Spiderman
Global,2003,Fictional Character Images,5,Winnie the Pooh,Winnie the Pooh
Global,2003,Male Celebrity Images,1,Eminem,Eminem
Global,2003,Male Celebrity Images,2,David Beckham,David Beckham
Global,2003,Male Celebrity Images,3,Orlando Bloom,Orlando Bloom
Global,2003,Male Celebrity Images,4,Justin Timberlake,Justin Timberlake
Global,2003,Male Celebrity Images,5,50 Cent,50 Cent
Global,2003,News Searches,1,Iraq,Iraq
Global,2003,News Searches,2,Laci Peterson,Laci Peterson
Global,2003,News Searches,3,Kobe Bryant,Kobe Bryant
Global,2003,News Searches,4,Bertrand Cantat,Bertrand Cantat
Global,2003,News Searches,5,RIAA,RIAA
Global,2003,Searches,1,Britney Spears,Britney Spears
Global,2003,Searches,2,Harry Potter,Harry Potter
Global,2003,Searches,3,Matrix,Matrix
Global,2003,Searches,4,Shakira,Shakira
Global,2003,Searches,5,David Beckham,David Beckham
Australia,2003,Popular Movies,1,2 Fast 2 Furious,2 Fast 2 Furious
Australia,2003,Popular Movies,2,Lord of the Rings,Lord of the Rings
Australia,2003,Popular Movies,3,Finding Nemo,Finding Nemo
Australia,2003,Popular Movies,4,Texas Chainsaw Massacre,Texas Chainsaw Massacre
Australia,2003,Popular Movies,5,Pirates of the Caribbean,Pirates of the Caribbean
Australia,2003,Popular Queries,1,Australian Idol,Australian Idol
Australia,2003,Popular Queries,2,Christina Aguilera,Christina Aguilera
Australia,2003,Popular Queries,3,Britney Spears,Britney Spears
Australia,2003,Popular Queries,4,Qantas,Qantas
Australia,2003,Popular Queries,5,Eminem,Eminem
Australia,2003,Popular Sports-Related Queries,1,Melbourne Cup,Melbourne Cup
Australia,2003,Popular Sports-Related Queries,2,Rugby World Cup,Rugby World Cup
Australia,2003,Popular Sports-Related Queries,3,Surfing,Surfing
Australia,2003,Popular Sports-Related Queries,4,Jonny Wilkinson,Jonny Wilkinson
Australia,2003,Popular Sports-Related Queries,5,Soccer,Soccer
Canada,2003,Popular Brands,1,Air Canada,Air Canada
Canada,2003,Popular Brands,2,Ferrari,Ferrari
Canada,2003,Popular Brands,3,Walmart,Walmart
Canada,2003,Popular Brands,4,WestJet,WestJet
Canada,2003,Popular Brands,5,IKEA,IKEA
Canada,2003,Popular Music,1,Britney Spears,Britney Spears
Canada,2003,Popular Music,2,Christina Aguilera,Christina Aguilera
Canada,2003,Popular Music,3,Eminem,Eminem
Canada,2003,Popular Music,4,Jennifer Lopez,Jennifer Lopez
Canada,2003,Popular Music,5,50 Cent,50 Cent
Canada,2003,Popular Queries,1,Finding Nemo,Finding Nemo
Canada,2003,Popular Queries,2,Paris Hilton,Paris Hilton
Canada,2003,Popular Queries,3,InuYasha,InuYasha
Canada,2003,Popular Queries,4,Canada 411,Canada 411
Canada,2003,Popular Queries,5,Orlando Bloom,Orlando Bloom
France,2003,Femmes célèbres,1,Britney Spears,Britney Spears
France,2003,Femmes célèbres,2,Lorie,Lorie
France,2003,Femmes célèbres,3,JLo,JLo
France,2003,Femmes célèbres,4,Alyssa Milano,Alyssa Milano
France,2003,Femmes célèbres,5,Christina Aguilera,Christina Aguilera
France,2003,Hommes célèbres,1,Eminem,Eminem
France,2003,Hommes célèbres,2,Harry Potter,Harry Potter
France,2003,Hommes célèbres,3,Marilyn Manson,Marilyn Manson
France,2003,Hommes célèbres,4,Michael Jackson,Michael Jackson
France,2003,Hommes célèbres,5,Justin Timberlake,Justin Timberlake
France,2003,Tendances de l'année,1,SNCF,SNCF
France,2003,Tendances de l'année,2,Fnac,Fnac
France,2003,Tendances de l'année,3,Star Academy,Star Academy
France,2003,Tendances de l'année,4,TF1,TF1
France,2003,Tendances de l'année,5,Matrix,Matrix
Germany,2003,Beliebte Filme,1,Matrix,Matrix
Germany,2003,Beliebte Filme,2,Harry Potter,Harry Potter
Germany,2003,Beliebte Filme,3,Herr Der Ringe,Lord of the rings
Germany,2003,Beliebte Filme,4,Findet Nemo,Finding Nemo
Germany,2003,Beliebte Filme,5,Kill Bill,Kill Bill
Germany,2003,Beliebte Suchanfragen,1,Yu-Gi-Oh,Yu-Gi-Oh
Germany,2003,Beliebte Suchanfragen,2,Jeanette Biedermann,Jeanette Biedermann
Germany,2003,Beliebte Suchanfragen,3,Paris Hilton,Paris Hilton
Germany,2003,Beliebte Suchanfragen,4,BMW,BMW
Germany,2003,Beliebte Suchanfragen,5,Stiftung Warentest,Stiftung Warentest
Germany,2003,Beliebte Suchanfragen aus dem Reisebereich,1,Ryanair,Ryanair
Germany,2003,Beliebte Suchanfragen aus dem Reisebereich,2,Deutsche Bahn,German railway
Germany,2003,Beliebte Suchanfragen aus dem Reisebereich,3,Last Minute,Last Minute
Germany,2003,Beliebte Suchanfragen aus dem Reisebereich,4,Lufthansa,Lufthansa
Germany,2003,Beliebte Suchanfragen aus dem Reisebereich,5,Germanwings,Germanwings
Italy,2003,Popular Brands,1,Nokia,Nokia
Italy,2003,Popular Brands,2,Hewlett-Packard,Hewlett-Packard
Italy,2003,Popular Brands,3,Vodafone,Vodafone
Italy,2003,Popular Brands,4,IKEA,IKEA
Italy,2003,Popular Brands,5,Xbox,Xbox
Italy,2003,Popular Italian Singers,1,Eros Ramazzotti,Eros Ramazzotti
Italy,2003,Popular Italian Singers,2,Vasco Rossi,Vasco Rossi
Italy,2003,Popular Italian Singers,3,Gigi D'Alessio,Gigi D'Alessio
Italy,2003,Popular Italian Singers,4,Tiziano Ferro,Tiziano Ferro
Italy,2003,Popular Italian Singers,5,Giorgia,Georgie
Italy,2003,Popular Queries,1,Pagine Bianche,White Pages
Italy,2003,Popular Queries,2,Meteo,Weather forecast
Italy,2003,Popular Queries,3,Trenitalia,Trenitalia
Italy,2003,Popular Queries,4,Auto Usate,Used Cars
Italy,2003,Popular Queries,5,Musica,Musica
Netherlands,2003,Popular Men,1,Eminem,Eminem
Netherlands,2003,Popular Men,2,Justin Timberlake,Justin Timberlake
Netherlands,2003,Popular Men,3,Robbie Williams,Robbie Williams
Netherlands,2003,Popular Men,4,Orlando Bloom,Orlando Bloom
Netherlands,2003,Popular Men,5,Frans Bauer,Frans Bauer
Netherlands,2003,Popular Movies,1,2 Fast 2 Furious,2 Fast 2 Furious
Netherlands,2003,Popular Movies,2,Lord of the Rings,Lord of the Rings
Netherlands,2003,Popular Movies,3,Matrix,Matrix
Netherlands,2003,Popular Movies,4,Harry Potter,Harry Potter
Netherlands,2003,Popular Movies,5,Finding Nemo,Finding Nemo
Netherlands,2003,Popular Queries,1,Spongebob,Spongebob
Netherlands,2003,Popular Queries,2,Christina Aguilera,Christina Aguilera
Netherlands,2003,Popular Queries,3,Voetbal,Football
Netherlands,2003,Popular Queries,4,Beyonce,Beyonce
Netherlands,2003,Popular Queries,5,Vuurwerk,Fireworks
Spain,2003,Popular Men,1,Eminem,Eminem
Spain,2003,Popular Men,2,Valentino Rossi,Valentino Rossi
Spain,2003,Popular Men,3,Beckham,Beckham
Spain,2003,Popular Men,4,Orlando Bloom,Orlando Bloom
Spain,2003,Popular Men,5,Josh Hartnett,Josh Hartnett
Spain,2003,Popular Movies,1,Matrix,Matrix
Spain,2003,Popular Movies,2,El Senor de los Anillos,The Lord of the Rings
Spain,2003,Popular Movies,3,Harry Potter,Harry Potter
Spain,2003,Popular Movies,4,Spiderman,Spiderman
Spain,2003,Popular Movies,5,Hulk,Hulk
Spain,2003,Popular Queries,1,Letizia Ortiz,Letizia Ortiz
Spain,2003,Popular Queries,2,Terra,Terra
Spain,2003,Popular Queries,3,Gran Hermano,Big Brother
Spain,2003,Popular Queries,4,Juegos,Games
Spain,2003,Popular Queries,5,Coches,Cars
United Kingdom,2003,Searches,1,Prince Charles,Prince Charles
United Kingdom,2003,Searches,2,EastEnders,EastEnders
United Kingdom,2003,Searches,3,Winnie the Pooh,Winnie the Pooh
United Kingdom,2003,Searches,4,Jonny Wilkinson,Jonny Wilkinson
United Kingdom,2003,Searches,5,EasyJet,EasyJet
United Kingdom,2003,Sports,1,Jonny Wilkinson,Jonny Wilkinson
United Kingdom,2003,Sports,2,David Beckham,David Beckham
United Kingdom,2003,Sports,3,Rugby World Cup,Rugby World Cup
United Kingdom,2003,Sports,4,Manchester United,Manchester United
United Kingdom,2003,Sports,5,Football,Football
United Kingdom,2003,Travel,1,EasyJet,EasyJet
United Kingdom,2003,Travel,2,Cheap Flights,Cheap Flights
United Kingdom,2003,Travel,3,Ryanair,Ryanair
United Kingdom,2003,Travel,4,British Airways,British Airways
United Kingdom,2003,Travel,5,Train Times,Train Times
Global,2004,Car Images,1,Ferrari,Ferrari
Global,2004,Car Images,2,BMW,BMW
Global,2004,Car Images,3,Lamborghini,Lamborghini
Global,2004,Car Images,4,Nissan Skyline,Nissan Skyline
Global,2004,Car Images,5,Porsche,Porsche
Global,2004,Cartoons Images,1,The Simpsons,The Simpsons
Global,2004,Cartoons Images,2,Pokémon,Pokémon
Global,2004,Cartoons Images,3,South Park,South Park
Global,2004,Cartoons Images,4,Garfield,Garfield
Global,2004,Cartoons Images,5,Hello Kitty,Hello Kitty
Global,2004,Companies,1,SCO,SCO
Global,2004,Companies,2,Johnson & Johnson,Johnson & Johnson
Global,2004,Companies,3,ING,ING
Global,2004,Companies,4,GE Aviation,GE Aviation
Global,2004,Companies,5,Fleet,Fleet
Global,2004,Consumer Brands,1,eBay,eBay
Global,2004,Consumer Brands,2,Walmart,Walmart
Global,2004,Consumer Brands,3,MapQuest,MapQuest
Global,2004,Consumer Brands,4,Amazon,Amazon
Global,2004,Consumer Brands,5,Home Depot,Home Depot
Global,2004,Countries,1,France,France
Global,2004,Countries,2,China,China
Global,2004,Countries,3,India,India
Global,2004,Countries,4,Iraq,Iraq
Global,2004,Countries,5,Iran,Iran
Global,2004,Deaths of 2004,1,Nicholas Berg,Nicholas Berg
Global,2004,Deaths of 2004,2,Christopher Reeve,Christopher Reeve
Global,2004,Deaths of 2004,3,Spalding Gray,Spalding Gray
Global,2004,Deaths of 2004,4,Marlon Brando,Marlon Brando
Global,2004,Deaths of 2004,5,Kenneth Bigley,Kenneth Bigley
Global,2004,Entertainment,1,Spa,Spa
Global,2004,Entertainment,2,Movies,Movies
Global,2004,Entertainment,3,Nightclub,Nightclub
Global,2004,Entertainment,4,Pub,Pub
Global,2004,Entertainment,5,Zoo,Zoo
Global,2004,Female Celebrity Images,1,Britney Spears,Britney Spears
Global,2004,Female Celebrity Images,2,Christina Aguilera,Christina Aguilera
Global,2004,Female Celebrity Images,3,Pamela Anderson,Pamela Anderson
Global,2004,Female Celebrity Images,4,Paris Hilton,Paris Hilton
Global,2004,Female Celebrity Images,5,Carmen Electra,Carmen Electra
Global,2004,Foods,1,Pizza,Pizza
Global,2004,Foods,2,Sushi,Sushi
Global,2004,Foods,3,Bakery,Bakery
Global,2004,Foods,4,Chinese,Chinese
Global,2004,Foods,5,Italian,Italian
Global,2004,Froogle Brand Searches,1,Louis Vuitton,Louis Vuitton
Global,2004,Froogle Brand Searches,2,Nikon,Nikon
Global,2004,Froogle Brand Searches,3,Canon,Canon
Global,2004,Froogle Brand Searches,4,Treo,Hang
Global,2004,Froogle Brand Searches,5,Tiffany,Tiffany
Global,2004,Froogle Clothing Searches,1,Bikini,Bikini
Global,2004,Froogle Clothing Searches,2,Mini Skirt,Mini Skirt
Global,2004,Froogle Clothing Searches,3,Prom Dresses,Prom Dresses
Global,2004,Froogle Clothing Searches,4,Lingerie,Lingerie
Global,2004,Froogle Clothing Searches,5,Little Black Dress,Little Black Dress
Global,2004,Froogle Computer Goods Searches,1,Tablet PC,Tablet PC
Global,2004,Froogle Computer Goods Searches,2,Computer,Computer
Global,2004,Froogle Computer Goods Searches,3,Laptop,Laptop
Global,2004,Froogle Computer Goods Searches,4,Headphones,Headphones
Global,2004,Froogle Computer Goods Searches,5,Computer Speakers,Computer Speakers
Global,2004,Froogle Electronics Searches,1,iPod,iPod
Global,2004,Froogle Electronics Searches,2,Digital Camera,Digital Camera
Global,2004,Froogle Electronics Searches,3,MP3,MP3
Global,2004,Froogle Electronics Searches,4,Xbox,Xbox
Global,2004,Froogle Electronics Searches,5,PlayStation 2,PlayStation 2
Global,2004,Froogle Hobby Searches,1,Poker Chips,Poker Chips
Global,2004,Froogle Hobby Searches,2,Airsoft Guns,Airsoft Guns
Global,2004,Froogle Hobby Searches,3,Mountain Bike,Mountain Bike
Global,2004,Froogle Hobby Searches,4,Pocket Bike,Pocket Bike
Global,2004,Froogle Hobby Searches,5,Night Vision Goggles,Night Vision Goggles
Global,2004,Froogle Shoe Searches,1,UGG Boots,UGG Boots
Global,2004,Froogle Shoe Searches,2,Puma,Puma
Global,2004,Froogle Shoe Searches,3,Adidas,Adidas
Global,2004,Froogle Shoe Searches,4,Nike,Nike
Global,2004,Froogle Shoe Searches,5,Aerosole,Aerosols
Global,2004,Health Services,1,Doctor,Doctor
Global,2004,Health Services,2,Hospital,Hospital
Global,2004,Health Services,3,Massage,Massage
Global,2004,Health Services,4,Dentist,Dentist
Global,2004,Health Services,5,Yoga,Yoga
Global,2004,Hotel Chains,1,Holiday Inn,Holiday Inn
Global,2004,Hotel Chains,2,Hampton Inn,Hampton Inn
Global,2004,Hotel Chains,3,Marriott,Marriott
Global,2004,Hotel Chains,4,Hilton,Hilton
Global,2004,Hotel Chains,5,Days Inn,Days Inn
Global,2004,Male Celebrity Images,1,Orlando Bloom,Orlando Bloom
Global,2004,Male Celebrity Images,2,Eminem,Eminem
Global,2004,Male Celebrity Images,3,Usher,Usher
Global,2004,Male Celebrity Images,4,Johnny Depp,Johnny Depp
Global,2004,Male Celebrity Images,5,Brad Pitt,Brad Pitt
Global,2004,Men,1,Orlando Bloom,Orlando Bloom
Global,2004,Men,2,Eminem,Eminem
Global,2004,Men,3,Usher,Usher
Global,2004,Men,4,Johnny Depp,Johnny Depp
Global,2004,Men,5,Brad Pitt,Brad Pitt
Global,2004,News Outlets,1,CNN,CNN
Global,2004,News Outlets,2,Washington Post,Washington Post
Global,2004,News Outlets,3,BBC,BBC
Global,2004,News Outlets,4,Fox News,Fox News
Global,2004,News Outlets,5,New York Times,New York Times
Global,2004,Professional Services,1,Real Estate,Real Estate
Global,2004,Professional Services,2,Attorney,Attorney
Global,2004,Professional Services,3,Insurance Broker,Insurance Broker
Global,2004,Professional Services,4,Car Dealer,Car Dealer
Global,2004,Professional Services,5,Hair Salon,Hair Salon
Global,2004,Public Figures,1,George W. Bush,George W. Bush
Global,2004,Public Figures,2,Janet Jackson,Janet Jackson
Global,2004,Public Figures,3,John Kerry,John Kerry
Global,2004,Public Figures,4,Britney Spears,Britney Spears
Global,2004,Public Figures,5,Saddam Hussein,Saddam Hussein
Global,2004,Retail Chains,1,Walmart,Walmart
Global,2004,Retail Chains,2,Home Depot,Home Depot
Global,2004,Retail Chains,3,Best Buy,Best Buy
Global,2004,Retail Chains,4,Costco,Costco
Global,2004,Retail Chains,5,Walgreens,Walgreens
Global,2004,Searches,1,Britney Spears,Britney Spears
Global,2004,Searches,2,Paris Hilton,Paris Hilton
Global,2004,Searches,3,Christina Aguilera,Christina Aguilera
Global,2004,Searches,4,Pamela Anderson,Pamela Anderson
Global,2004,Searches,5,Chat,Chat
Global,2004,Sports,1,David Beckham,David Beckham
Global,2004,Sports,2,Tour de France,Tour de France
Global,2004,Sports,3,Euro 2004,Euro 2004
Global,2004,Sports,4,NBA,NBA
Global,2004,Sports,5,Lance Armstrong,Lance Armstrong
Global,2004,Sports Services,1,YMCA,YMCA
Global,2004,Sports Services,2,Golf,Golf
Global,2004,Sports Services,3,Campground,Campground
Global,2004,Sports Services,4,Bowling,Bowling
Global,2004,Sports Services,5,Marathon,Marathon
Global,2004,Technology,1,Wallpaper,Wallpaper
Global,2004,Technology,2,Kazaa,Kazaa
Global,2004,Technology,3,MP3,MP3
Global,2004,Technology,4,Spybot,Spybot
Global,2004,Technology,5,Linux,Linux
Global,2004,TV Shows,1,The Simpsons,The Simpsons
Global,2004,TV Shows,2,Pokémon,Pokémon
Global,2004,TV Shows,3,South Park,South Park
Global,2004,TV Shows,4,Charmed,Charmed
Global,2004,TV Shows,5,SpongeBob SquarePants,SpongeBob SquarePants
Global,2004,Women,1,Britney Spears,Britney Spears
Global,2004,Women,2,Paris Hilton,Paris Hilton
Global,2004,Women,3,Christina Aguilera,Christina Aguilera
Global,2004,Women,4,Pamela Anderson,Pamela Anderson
Global,2004,Women,5,Carmen Electra,Carmen Electra
Global,2005,Froogle Searches,1,iPod,iPod
Global,2005,Froogle Searches,2,Digital Camera,Digital Camera
Global,2005,Froogle Searches,3,MP3 Player,MP3 Player
Global,2005,Froogle Searches,4,iPod Mini,iPod Mini
Global,2005,Froogle Searches,5,PlayStation Portable,PlayStation Portable
Global,2005,Most Searched,1,Janet Jackson,Janet Jackson
Global,2005,Most Searched,2,Hurricane Katrina,Hurricane Katrina
Global,2005,Most Searched,3,Tsunami,Tsunami
Global,2005,Most Searched,4,Xbox 360,Xbox 360
Global,2005,Most Searched,5,Brad Pitt,Brad Pitt
Global,2006,Deaths of 2006,1,Aaron Spelling,Aaron Spelling
Global,2006,Deaths of 2006,2,Kirby Puckett,Kirby Puckett
Global,2006,Deaths of 2006,3,Jack Wild,Jack Wild
Global,2006,Deaths of 2006,4,Clifford Geertz,Clifford Geertz
Global,2006,Deaths of 2006,5,Muriel Spark,Muriel Spark
Global,2006,Define...,1,Define Promiscuous,Define Promiscuous
Global,2006,Define...,2,Define Web 2.0,Define Web 2.0
Global,2006,Define...,3,Define FTW,Define FTW
